OBJECTID,ID,ADDRESS,TERMINAL_NUMBER,LATITUDE,LONGITUDE,INSTALLED,LOCKED,INSTALL_DATE,REMOVAL_DATE,TEMPORARY_INSTALL,NUMBER_OF_BIKES,NUMBER_OF_EMPTY_DOCKS,X,Y,SE_ANNO_CAD_DATA,OWNER
285781866,176,Ballston Metro / Stuart St & 9th St N,31037,38.881044,-77.111768,YES,NO,,,NO,8,15,390302.23781937,134806.97373735,,
285781867,177,Fairfax Dr & N Randolph St,31034,38.882629,-77.109366,YES,NO,,,NO,4,7,390510.86258655,134982.66832544,,
285781868,178,Jefferson Memorial,31249,38.879819,-77.037413,YES,NO,,,NO,12,11,396753.73375318,134665.71792817,,DC
285781869,179,Good Hope Rd & 14th St SE,31803,38.866611,-76.985238,YES,NO,,,NO,11,4,401281.11228246,133198.96929326,,DC
285781870,180,Glebe Rd & 11th St N,31038,38.883921,-77.116817,YES,NO,,,NO,3,8,389864.56068615,135126.89103108,,
285781871,181,Wilson Blvd & N Quincy St,31039,38.880012,-77.107854,YES,NO,,,NO,11,4,390641.70793238,134692.00542591,,
285781872,182,GMU / Fairfax Dr & Kenmore St,31040,38.884616,-77.10108,YES,NO,,,NO,4,7,391230.0410303,135202.41180552,,
285781873,183,Gallaudet / 8th St & Florida Ave NE,31508,38.90509,-76.9941,YES,NO,,,NO,8,11,400511.75228339,137470.34907981,,DC
285781874,185,20th & L St NW,31250,38.903584,-77.044789,YES,NO,,,NO,0,19,396115.02439795,137304.10738551,,DC
285781875,186,12th & L St NW,31251,38.903819,-77.0284,YES,NO,,,NO,2,17,397536.60617,137329.6244241,,DC
285781876,187,21st St & Pennsylvania Ave NW,31252,38.901539,-77.046564,YES,NO,,,NO,0,17,395960.94600021,137077.17295375,,DC
285781877,188,19th & K St NW,31253,38.902204,-77.04337,YES,NO,,,NO,0,23,396238.03496422,137150.85682925,,DC
285781878,189,Prince St & Union St,31041,38.803124,-77.040363,YES,NO,,,NO,4,14,396494.00267968,126152.15218226,,
285781879,190,Market Square / King St & Royal St,31042,38.804718,-77.043363,YES,NO,,,NO,3,12,396233.50175862,126329.21564255,,
285781880,191,Saint Asaph St & Pendleton  St,31043,38.810743,-77.044664,YES,NO,,,NO,8,6,396120.82449056,126998.08315733,,
285781881,192,King St & Patrick St,31044,38.805317,-77.049883,YES,NO,,,NO,4,11,395667.21274018,126395.99762896,,
285781882,193,15th & K St NW,31254,38.902,-77.03353,YES,NO,,,NO,0,26,397091.55982715,137127.85168549,,DC
285781883,194,Commerce St & Fayette St,31045,38.805648,-77.05293,YES,NO,,,NO,11,3,395402.57471448,126432.8897394,,
285781884,195,Henry St & Pendleton St,31046,38.811456,-77.050276,YES,NO,,,NO,11,6,395633.45246838,127077.48415181,,
285781885,196,Braddock Rd Metro,31047,38.814577,-77.052808,YES,NO,,,NO,0,28,395413.7448307,127424.05927501,,
285781886,197,King St Metro South,31048,38.805763,-77.060627,YES,NO,,,NO,0,22,394734.03270035,126446.07127699,,
285781887,198,24th & N St NW,31255,38.9066,-77.05152,YES,NO,,,NO,0,15,395531.3698104,137639.21579131,,DC
285781888,199,10th & E St NW,31256,38.895914,-77.026064,YES,NO,,,NO,2,13,397738.97843831,136452.04567026,,DC
285781889,200,22nd & I St NW / Foggy Bottom,31257,38.90088,-77.048911,YES,NO,,,NO,3,10,395757.32337487,137004.12512577,,DC
285781890,201,Utah St & 11th St N,31049,38.883669,-77.113905,YES,NO,,,NO,9,2,390117.18065021,135098.59783356,,
285781891,202,Barton St & 10th St N,31050,38.884961,-77.08777,YES,NO,,,NO,2,8,392384.88706428,135239.51496366,,
285781892,203,Arlington Blvd & N Queen St,31051,38.889365,-77.077294,YES,NO,,,NO,7,4,393294.22093326,135727.57124359,,
285781893,204,Lincoln Memorial,31258,38.888251,-77.049426,YES,NO,,,NO,11,14,395711.89180633,135602.23051407,,DC
285781894,206,20th St & Virginia Ave NW,31259,38.894722,-77.045128,YES,NO,,,NO,3,12,396085.13339566,136320.36909798,,DC
285781895,207,5th St & Massachusetts Ave NW,31265,38.90093,-77.018677,YES,NO,,,NO,1,17,398379.90597158,137008.70467648,,DC
285781896,208,39th & Veazey St NW,31308,38.943837,-77.077078,YES,NO,,,NO,15,0,393318.06595366,141774.40034915,,DC
285781897,209,Fessenden St & Wisconsin Ave NW,31309,38.954812,-77.082426,YES,NO,,,NO,8,6,392855.54507199,142993.1290753,,DC
285781898,210,3rd & M St NE,31627,38.90547,-77.00213,YES,NO,,,NO,0,21,399815.24973606,137512.51778395,,DC
285781899,211,Columbia Pike & S Courthouse Rd,31053,38.863833,-77.080319,YES,NO,,,NO,4,10,393029.28804682,132893.55385171,,
285781900,212,Walter Reed Dr & 16th St S,31054,38.857803,-77.086733,YES,NO,,,NO,6,5,392471.99507726,132224.68968124,,
285781901,213,28th St & S Meade St,31055,38.846222,-77.069275,YES,NO,,,NO,9,5,393986.28914822,130937.82204983,,
285781902,214,18th St & Wyoming Ave NW,31114,38.918809,-77.041571,YES,NO,,,NO,20,2,396394.92173743,138994.07565048,,DC
285781903,215,5th & Kennedy St NW,31403,38.956556,-77.019814,YES,NO,,,NO,6,9,398282.61975004,143183.69002703,,DC
285781904,216,Georgia Ave & Emerson St NW,31405,38.949662,-77.027333,YES,NO,,,NO,11,7,397630.68061866,142418.56148209,,DC
285781905,217,14th & Upshur St NW,31406,38.942475,-77.032678,YES,NO,,,NO,16,3,397167.07187956,141620.89237034,,DC
285781906,218,14th St & Colorado Ave NW,31407,38.956432,-77.032947,YES,NO,,,NO,14,5,397144.31085359,143170.25383441,,DC
285781907,219,Troy St & 26th St S,31056,38.847977,-77.075104,YES,NO,,,NO,2,9,393480.43841302,131133.03943473,,
285781908,220,Four Mile Run Dr & S Shirlington Rd,31057,38.8444,-77.085931,YES,NO,,,NO,7,4,392540.20426708,130736.796557,,
285781909,221,Columbia Pike & S Oakland St,31058,38.860789,-77.09586,YES,NO,,,NO,5,6,391680.16396318,132556.94935025,,
285781910,222,Four Mile Run Dr & S Walter Reed Dr,31059,38.84736,-77.095431,YES,NO,,,NO,6,5,391715.83915544,131066.19628707,,
285781911,223,S Arlington Mill Dr & Campbell Ave,31060,38.84232,-77.089555,YES,NO,,,NO,0,15,392225.37311813,130506.2046103,,
285781912,224,Kenmore St & 24th St S,31061,38.848454,-77.084918,YES,NO,,,NO,5,6,392628.5628703,131186.73644678,,
285781913,225,13th St & Eastern Ave,32006,38.987,-77.029417,YES,NO,,,NO,6,9,397451.3679179,146563.48846577,,
285781914,226,Wisconsin Ave & O St NW,31312,38.90849,-77.063586,YES,NO,,,NO,11,7,394484.96152307,137849.68097811,,DC
285781915,227,Roosevelt Island,31062,38.896553,-77.06714,YES,NO,,,NO,7,6,394175.73602395,136524.79875716,,
285781916,228,Connecticut & Nebraska Ave NW,31310,38.955016,-77.069956,YES,NO,,,NO,22,1,393936.42688566,143014.87282821,,DC
285781917,229,17th St & Massachusetts Ave NW,31267,38.908142,-77.038359,YES,NO,,,NO,7,10,396672.97197532,137809.82841168,,DC
285781918,230,15th & Euclid St  NW,31117,38.92333,-77.0352,YES,NO,,,NO,15,0,396947.614649,139495.71246314,,DC
285781919,231,8th & East Capitol St NE,31629,38.889988,-76.995193,YES,NO,,,NO,8,3,400417.03628136,135793.90119809,,DC
285781920,232,New Jersey Ave & R St NW,31509,38.912659,-77.017669,YES,NO,,,NO,13,2,398467.59465205,138310.70186081,,DC
285781921,233,15th & East Capitol St NE,31630,38.889908,-76.983326,YES,NO,,,NO,8,3,401446.57181554,135785.14170208,,DC
285781922,234,8th & F St NE,31631,38.897274,-76.994749,YES,NO,,,NO,13,2,400455.50943968,136602.70680593,,DC
285781923,235,18th St & Rhode Island Ave NE,31510,38.927095,-76.978924,YES,NO,,,NO,10,5,401827.51926549,139913.2820472,,DC
285781924,236,15th & F St NE,31632,38.897195,-76.983575,YES,NO,,,NO,13,6,401424.82399465,136594.05225642,,DC
285781925,237,12th & Irving St NE,31511,38.928644,-76.990955,YES,NO,,,NO,7,8,400784.28320356,140085.0622346,,DC
285781926,239,Alabama & MLK Ave SE,31800,38.84323,-76.999376,YES,NO,,,NO,1,8,400054.17124801,130603.40760852,,DC
285781927,240,Pleasant St & MLK Ave SE,31807,38.863897,-76.990037,YES,NO,,,NO,6,5,400864.66651397,132897.63895866,,DC
285781928,241,Neal St & Trinidad Ave NE,31512,38.903732,-76.987211,YES,NO,,,NO,11,4,401109.30924373,137319.66124122,,DC
285781929,242,12th & U St NW,31268,38.916787,-77.028139,YES,NO,,,NO,26,4,397559.68883751,138769.17197864,,DC
285781930,243,S George Mason & Four Mile Run Dr,31063,38.852248,-77.105022,YES,NO,,,NO,6,5,390883.88955688,131609.71253131,,
285781931,244,Gravelly Point,31064,38.865029,-77.039511,YES,NO,,,NO,4,11,396570.98306025,133023.9941377,,
285781932,245,Pershing Dr & Wayne St,31065,38.880705,-77.08596,YES,NO,,,NO,1,10,392541.48161705,134766.91705858,,
285781933,246,Columbia Pike & S Orme St,31066,38.867262,-77.072315,YES,NO,,,NO,6,4,393724.23923893,133273.6172133,,
285781934,247,3rd St & Pennsylvania Ave SE,31269,38.887378,-77.001955,YES,NO,,,NO,3,10,399830.38573816,135504.16169424,,DC
285781935,248,8th & D St NW,31270,38.894851,-77.02324,YES,NO,,,NO,3,12,397983.92709424,136333.97809506,,DC
285781936,249,3rd & Elm St NW,31118,38.917622,-77.01597,YES,NO,,,NO,11,4,398615.04270249,138861.60900002,,DC
285781937,250,Rhode Island Ave & V St NE,31513,38.918155,-77.004746,YES,NO,,,NO,16,3,399588.4183945,138920.6660217,,DC
285781938,251,Constitution Ave & 2nd St NW/DOL,31271,38.892275,-77.013917,YES,NO,,,NO,2,24,398792.6549073,136047.85718073,,DC
285781939,252,Washington & Independence Ave SW/HHS,31272,38.886978,-77.013769,YES,NO,,,NO,10,21,398805.40570038,135459.84686256,,DC
285781940,253,Independence Ave & L'Enfant Plaza SW/DOE,31633,38.887312,-77.025762,YES,NO,,,NO,4,10,397764.90711108,135497.14874174,,DC
285781941,254,Hamlin & 7th St NE,31514,38.927497,-76.997194,YES,NO,,,NO,6,9,400243.30946072,139957.7002703,,DC
